dataset,group,method,replicates,source,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auprc_mean,auprc_std,roc_auc_mean,roc_auc_std
complementary_2028,simulated,IsolationForest,5,five-split benchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.02785186619243868,0.009250511641103895,0.31955855303494785,0.14516882457010075
complementary_2028,simulated,LOF,5,five-split benchmark,0.0566801619433198,0.0,0.0291666666666666,0.0,1.0,0.0,0.02336756766906036,0.005022463320283044,0.2870631514408338,0.09325625586584706
complementary_2028,simulated,MarsGT,5,five-split benchmark,0.753778677462888,0.08959900786434517,0.7833333333333333,0.20069324297987162,0.7714285714285716,0.16288220358559113,0.8805952380952382,0.09932774318836318,0.9838136112814224,0.013324625502942961
complementary_2029,simulated,DGCGT,5,five-split benchmark,0.8808058608058609,0.044495770655728996,0.9178571428571429,0.07533936824903212,0.8571428571428571,0.10101525445522107,0.9368707482993198,0.09582993040333898,0.9944819129368485,0.009761914977370138
complementary_2029,simulated,IsolationForest,5,five-split benchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.02283480666172094,0.0038272447963162534,0.2908645003065603,0.13047276568014887
complementary_2029,simulated,LOF,5,five-split benchmark,0.0566801619433198,0.0,0.0291666666666666,0.0,1.0,0.0,0.023130450979885024,0.0038901897879500312,0.29724095646842424,0.1087606110143447
complementary_2029,simulated,MarsGT,5,five-split benchmark,0.8119263089851325,0.08604332570334833,0.7647619047619048,0.16189075569668995,0.8857142857142858,0.063887656499994,0.9244316204282981,0.09665541573818492,0.9939914163090128,0.010498518598653101
noisy_dropout_2026,simulated,DGCGT,5,five-split benchmark,0.8228388278388279,0.12171069690331879,0.8353174603174602,0.12341525031812689,0.8285714285714286,0.18626292586293283,0.893403543235476,0.05449054455220791,0.995340282035561,0.003484554810149054
noisy_dropout_2026,simulated,IsolationForest,5,five-split benchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.02451846055829162,0.003813343660376104,0.2891477621091354,0.10394757278038004
noisy_dropout_2026,simulated,LOF,5,five-split benchmark,0.0566801619433198,0.0,0.0291666666666666,0.0,1.0,0.0,0.02145833364241658,0.0035453205305282826,0.2385039852851011,0.08992728475703632
noisy_dropout_2026,simulated,MarsGT,5,five-split benchmark,0.7761499336576737,0.0832936979055899,0.6836507936507937,0.125516820224359,0.9142857142857143,0.07824607964359519,0.8968555262615412,0.06583395321329984,0.9939914163090128,0.005227731145871823
noisy_dropout_2027,simulated,DGCGT,5,five-split benchmark,0.768073593073593,0.12276491669406248,0.8698412698412697,0.1925809636584521,0.7142857142857142,0.1749635530559413,0.8794918573490003,0.060112196236538476,0.9928877988963827,0.007065535397124699
noisy_dropout_2027,simulated,IsolationForest,5,five-split benchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.019543839503773957,0.0024175177072764493,0.17302268546903737,0.09963297646197775
noisy_dropout_2027,simulated,LOF,5,five-split benchmark,0.0566801619433198,0.0,0.0291666666666666,0.0,1.0,0.0,0.018176983358001757,0.001714985372103264,0.09908031882280802,0.09446995612603398
noisy_dropout_2027,simulated,MarsGT,5,five-split benchmark,0.732020757020757,0.17356400560481597,0.8365079365079365,0.10671578612045467,0.7142857142857143,0.2672612419124244,0.8749452729809872,0.058601139210930756,0.9927651747394236,0.005903178370036041
noisy_dropout_2028,simulated,DGCGT,5,five-split benchmark,0.8134615384615385,0.09962742889930533,0.8822222222222222,0.1093188788999897,0.7714285714285714,0.16288220358559113,0.8604444324148757,0.09236056656098898,0.9893316983445739,0.008546384726770245
noisy_dropout_2028,simulated,IsolationForest,5,five-split benchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.019699950550985036,0.0016296712204497096,0.19313304721030033,0.06847903199792138
noisy_dropout_2028,simulated,LOF,5,five-split benchmark,0.0566801619433198,0.0,0.0291666666666666,0.0,1.0,0.0,0.01966622776543242,0.0008711723117077662,0.19435928877988956,0.04060276379490237
noisy_dropout_2028,simulated,MarsGT,5,five-split benchmark,0.7862271062271061,0.13535717972012373,0.7773809523809524,0.12468781878834441,0.8,0.16288220358559113,0.8737537066108494,0.0742962317040164,0.993746167995095,0.0037645815899469363
noisy_dropout_2029,simulated,DGCGT,5,five-split benchmark,0.841043956043956,0.14196408302616623,0.8325396825396825,0.18723263460417727,0.8571428571428571,0.10101525445522107,0.9357575757575758,0.06010974889219892,0.9950950337216431,0.004567646972946443
noisy_dropout_2029,simulated,IsolationForest,5,five-split benchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.025437203233419036,0.006637833931484406,0.2920907418761496,0.10832961156965919
noisy_dropout_2029,simulated,LOF,5,five-split benchmark,0.0566801619433198,0.0,0.0291666666666666,0.0,1.0,0.0,0.02080019428606134,0.0019216618799475305,0.23690987124463508,0.06299737744929314
